,symbol,stock_return_100,market_return_100,sentiment,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,outperformed
7428,VRPX,-0.20542831455078536,0.09360718955319823,0.03086135714285715,9120800,None,None,None,1.415,0,0,-1.86,0,0,0,-0.461,-0.801,0,0,-1.86,0,0,-,-,-,0.452,-,0.0266,2.159,False
7429,VRRM,0.2573807721423163,0.09360718955319823,0.22807389999999997,2448503000,299989000,32.87,None,1.551,0,0,0.5,4.852,0.125,0.222,0.0573,0.377,741598000,468012000,0.5,0.072,0.095,32.87,12.61,2.876,10.79,4.552,10.34,1.192,True
7430,VRSK,0.12598887085598778,0.09360718955319823,0.13970041891891893,29520484000,1248500000,29.19,3.04,11.31,1.24,0.0071,6.53,15.81,0.382,0.419,0.0886,0.452,2497000000,1672400000,6.53,-0.557,-0.177,29.19,32.68,9.11,14.39,10.55,18.2,0.839,True
7431,VRSN,0.19924854194706149,0.09360718955319823,0.11550192079207917,22376983000,990000000,33.92,3.26,-14.84,0,0,6.29,13.21,0.473,0.662,0.317,0,1424900000,1224200000,6.29,-0.431,0.085,33.92,26.11,15.16,-,15.59,22.34,0.994,True
7432,VRT,-0.10451337141911153,0.09360718955319823,-0.10048202072538866,4943713000,530200000,None,None,3.821,0.01,0.0007,-0.04,15.11,0.0135,0.04,0.0203,0.0536,5691500000,1616100000,-0.04,0.178,0.173,-,8.98,0.918,4.142,1.52,15.55,1.888,False
7433,VRTS,0.09585734627657483,0.09360718955319823,0.125709105,1341099000,273710000,11.7,0.62,113.77,6.3,0.0356,15.51,119.93,0.133,0.236,0.0332,0.112,886379000,402508000,15.51,-0.242,-0.255,11.7,-,1.424,1.759,3.298,8.85,1.613,True
7434,VRTV,0.08142458964678677,0.09360718955319823,0.19613865838509334,1721881000,455500000,5.46,0.97,56.01,1.26,0.019,22.82,504.33,0.0473,0.0589,0.116,0.485,7146300000,1620300000,22.82,0.419,-0.108,5.46,-,0.239,2.58,0.291,4.508,2.073,False
7435,VRTX,0.0164220598693995,0.09360718955319823,0.20119170999999994,81248469000,4526700000,24.56,0.413,54.13,0,0,12.87,34.87,0.372,0.49,0.173,0.277,8930700000,5323100000,12.87,0.05,0.111,24.56,19.72,9.1,6.15,8.18,16.84,0.485,False
7436,VS,-0.7370892018779343,0.09360718955319823,0.16282259493670886,5711300,-12946638,None,None,2.836,0,0,-11.32,0.668,0,-12.38,-0.628,-2.234,1108800,29450,-11.32,0,-0.447,-,-,0.739,0.0635,2.343,-0.31,1.567,False
7437,VSAC,0.03656126482213449,0.09360718955319823,0.1643483181818182,137657000,None,None,None,-0.326,0,0,-0.02,0,0,0,-0.0098,0,0,0,-0.02,0,0,-,-,-,1.356,-,-371.89,None,False
7438,VSACU,0.03948667324777873,0.09360718955319823,,None,None,None,None,-0.326,0,0,-0.184,0,0,0,-0.0098,0,0,0,-0.184,0,0,-,-,-,-,-,-,None,False
7439,VSACW,0.9345238095238098,0.09360718955319823,,None,None,None,None,0.011,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
7440,VSAT,0.14656334231805934,0.09360718955319823,0.192119915,2598980000,462906000,None,94.32,33.9,0,0,-1.45,38.06,-0.0493,0.0057,0.0016,-0.0376,2867262000,847513000,-1.45,0.357,0.042,-,-,0.813,0.904,1.842,10.44,1.273,True
7441,VSCO,-0.10523560209424092,0.09360718955319823,0.16531887000000003,2657362000,840000000,8.16,None,4.787,0,0,4.19,77.37,0.0549,0.0892,0.0781,1.027,6344000000,2783000000,4.19,-0.223,-0.071,8.16,9.18,0.492,15.47,0.965,7.43,None,False
7442,VSEC,-0.10706402159186658,0.09360718955319823,0.07600956521739131,557016000,81201000,19.75,1.078,35.07,0.4,0.0088,2.19,74.32,0.0295,0.0586,0.0363,0.0647,949762000,77933000,2.19,-0.217,0.115,19.75,14.47,0.63,1.33,0.986,11.42,1.488,False
7443,VSH,0.031078804726295855,0.09360718955319823,0.19156329000000002,3081871000,775594000,7.27,0.75,14.54,0.4,0.0179,2.98,24.39,0.123,0.175,0.103,0.227,3497401000,1065650000,2.98,1.053,0.015,7.27,7.37,0.878,1.666,0.809,3.714,1.301,False
7444,VSSYW,0.7326732673267329,0.09360718955319823,,69310000,None,None,None,None,None,0,None,0,0,0,0,-83.38,0,0,0,0,0,-,-,-,-,-,-,None,True
7445,VST,0.009993570629518132,0.09360718955319823,0.11215104379562045,9048655000,909000000,None,0.829,7.45,0.724,0.0329,-3.26,32.5,-0.0894,-0.0804,-0.0221,-0.183,13728000000,1682000000,-3.26,150.01,0.167,-,7.04,0.719,2.705,1.825,10.83,0.942,False
7446,VST-WS-A,-0.875,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
7447,VSTA,-0.3202479338842975,0.09360718955319823,,266761000,344727000,None,None,56.05,0,0,-0.13,15.3,-0.0432,0.0638,0.0068,-0.0117,1264280000,791145000,-0.13,2.705,0.268,-,14.47,0.283,0.38,0.365,1.214,0.171,False
