,symbol,stock_return_100,market_return_100,sentiment,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,outperformed
1972,CYCCP,0.5976914414414409,0.09360718955319823,,27000900,-27624000,None,0,1.237,0,0.0387,-2.047,0.01,0,0,-0.493,-0.803,150000,-455000,-2.047,0,0,-,-,-,-,-,-,1.165,True
1973,CYCN,-0.30544544126851664,0.09360718955319823,0.07766741176470586,15854400,-44307000,None,None,0.24,0,0,-0.83,0.037,0,-27.31,-0.717,-1.502,1625000,-29749000,-0.83,0,0.141,-,-,17.43,1.711,0.517,0.529,2.006,False
1974,CYD,0.09756097560975618,0.09360718955319823,0.16048206122448977,310521000,1051429000,9.74,0,216.83,0,0.0509,0.78,392.35,0.0136,0.0324,0.0126,0,16030636000,2630650000,0.78,5.64,-0.136,9.74,5.0,0.0182,0.243,0.0006,-0.343,1.141,True
1975,CYH,0.8259259259259257,0.09360718955319823,0.11433028571428569,674192000,1168000000,13.69,-1.64,-10.59,0,0,0.36,94.8,0.0038,0.0589,0.0301,0,12211000000,4906000000,0.36,1.305,-0.028,13.69,10.14,0.0389,-,1.047,7.81,1.727,True
1976,CYN,0.3974219973497169,0.09360718955319823,0.014625306122448974,39114700,-19248960,None,None,0.716,0,0,-0.63,0.008,0,-74.05,-0.504,-0.83,262000,75180,-0.63,0,0,-,-,-,0.866,-,0.182,None,True
1977,CYRX,0.4346178142766899,0.09360718955319823,0.11996228205128205,1097706000,-6974000,None,0,11.12,0,0,-0.98,4.844,-0.157,-0.125,-0.0173,-0.0623,237277000,103873000,-0.98,0,0.069,-,58.14,3.712,1.661,3.5,-3.137,1.332,True
1978,CYT,0.1265822784810126,0.09360718955319823,0.007055000000000001,64894000,-47502000,None,None,4.119,0,0,-1.27,0,0,0,-0.173,-0.276,0,-16591000,-1.27,0,0,-,-,-,0.304,-,2.153,None,True
1979,CYTH,-0.3423255813953488,0.09360718955319823,0.042862333333333336,8496700,-15602405,None,None,0.087,0,0,-1.73,0.163,0,-11.36,-0.823,-1.883,1375800,1225800,-1.73,0,-0.681,-,-,8.65,2.841,6.57,-0.871,-0.351,False
1980,CYTHW,-0.48905109489051096,0.09360718955319823,,62760000,-8907030,None,None,None,None,0,None,0.713,0,-9.05,-1.115,-157.03,985150,0,0,0,-0.222,-,-,-,-,-,-,-0.884,False
1981,CYTK,-0.008731241473397006,0.09360718955319823,0.10249476642335771,3462923000,-318388000,None,-0.42,-1.138,0,0,-4.64,1.053,0,-3.428,-0.218,-5.72,94588000,-146225000,-4.64,0,-0.965,-,-,27.52,31.9,21.97,-13.92,0.85,False
1982,CYTO,-0.734225621414914,0.09360718955319823,0.09577730000000002,3319300,-16574073,None,None,9.0,0,0,-28.61,1.743,0,-12.9,-0.491,-1.293,1286900,-2176672,-28.61,0,0,-,-,4.259,0.728,8.62,-0.636,1.406,False
1983,CYXT,-0.8428571428571429,0.09360718955319823,0.07263684848484848,56870000,199700000,None,None,2.139,0,0,-2.06,4.188,-0.476,-0.058,-0.009,-0.717,746000000,462500000,-2.06,0,0.082,-,60.98,0.469,0.588,3.535,14.91,1.473,False
1984,CZFS,0.24920499329241183,0.09360718955319823,0.19385545945945948,336560000,None,11.58,0,50.4,1.9,0.0229,7.32,20.17,0.363,0.454,0.013,0.141,80081000,80081000,7.32,0.136,0.102,11.58,8.9,3.803,1.57,-,-,0.297,True
1985,CZNC,-0.1529173777019335,0.09360718955319823,0.08364018181818182,323242000,None,11.75,0,16.07,1.12,0.0542,1.71,6.49,0.265,0.323,0.0111,0.0967,100305000,100305000,1.71,0.088,0.045,11.75,-,3.647,1.558,-,-,0.343,False
1986,CZOO,-0.6026397079472058,0.09360718955319823,0.10241683333333335,101882000,-587000000,None,None,13.88,0,0,-22.99,26.98,-0.564,-0.535,-0.408,-1.322,1249000000,21000000,-22.99,0,1.53,-,-,0.149,0.262,0.585,-1.374,1.632,False
1987,CZR,0.13687150837988832,0.09360718955319823,0.22423896000000001,10300714000,3066000000,None,1.16,17.3,0,0,-2.41,50.56,-0.0831,0.172,0.0325,-0.126,10821000000,5420000000,-2.41,0,0.089,-,23.53,0.978,2.778,2.138,9.17,2.896,True
1988,CZWI,-0.19666943025505243,0.09360718955319823,,111327000,None,6.28,0,16.03,0.26,0.0273,1.69,6.22,0.272,0.388,0.01,0.105,65324000,65324000,1.69,-0.214,-0.114,6.28,8.05,1.837,0.781,-,-,0.939,False
1989,D,-0.04628120115244269,0.09360718955319823,0.19710002,48693617000,7886000000,53.27,2.311,31.25,2.67,0.048,1.08,20.84,0.0579,0.278,0.0293,0.0357,17174000000,7923000000,1.08,0.149,0.266,53.27,13.83,3.038,1.843,5.89,13.91,0.466,False
1990,DAC,-0.013998763671777308,0.09360718955319823,0.08957268085106382,1105803000,685983000,1.992,0.52,125.82,3,0.0559,27.28,48.5,0.563,0.613,0.108,0.241,993344000,787057000,27.28,-0.063,0.174,1.992,-,1.179,0.448,1.521,1.992,1.59,False
1991,DADA,1.5819935691318328,0.09360718955319823,0.05756405555555557,1968481000,-1926957952,None,None,27.4,0,0,-1.11,36.91,-0.214,-0.226,-0.185,-0.372,9367595000,3624585000,-1.11,0,0.319,-,60.61,0.233,1.788,0.158,-0.549,1.553,True
1992,DAIO,0.2970822281167108,0.09360718955319823,0.08877,43112100,-161000,None,0,2.167,0,0,-0.13,2.771,-0.0463,-0.0309,-0.0166,-0.0575,24217000,13210000,-0.13,69.18,0.144,-,-,1.426,1.928,1.113,-26.5,1.002,True
1993,DAKT,0.5685714285714286,0.09360718955319823,0.08568581751824818,253625000,23775000,None,1.33,3.944,0,0.0448,-0.34,15.62,-0.0222,0.0105,0.0106,-0.0842,706537000,116697000,-0.34,-0.343,0.325,-,-,0.166,0.601,0.186,25.21,1.152,True
1994,DAL,0.01374775851763302,0.09360718955319823,0.12569929,22392064000,5658000000,16.17,23.16,10.31,0,0.0698,2.16,79.28,0.0261,0.0763,0.0333,0.252,50582000000,9680000000,2.16,-0.429,0.419,16.17,93.46,0.457,4.722,0.947,30.34,1.259,False
1995,DALN,-0.08504383322160484,0.09360718955319823,0.06398716666666666,22903500,-2028000,None,0,2.31,0.64,0.145,-1.83,28.15,-0.065,-0.0314,-0.0333,-0.356,150651000,-2028000,-1.83,0,-0.036,-,-,0.148,0.94,0.0461,-1.524,0.895,False
1996,DALS,0.03051881993896243,0.09360718955319823,,259834000,None,506.5,None,-0.185,0,0,0.02,0,0,0,-0.0054,0,0,0,0.02,0,0,506.5,-,-,-,-,-,None,False
1997,DAN,-0.10207799432735636,0.09360718955319823,0.14749129411764703,2186584000,635000000,None,6.85,10.82,0.4,0.0264,-1.69,70.72,-0.0238,0.0243,0.0205,-0.157,10156000000,763000000,-1.69,-0.845,0.124,-,9.9,0.23,1.449,0.484,9.68,2.39,False
1998,DAO,1.643564356435644,0.09360718955319823,0.13040929729729733,901270000,-744582016,None,None,-12.42,0,0,-0.91,40.56,-0.145,-0.154,-0.197,0,5013182000,2586416000,-0.91,0,0.386,-,-,0.142,60.14,0.16,-0.779,-0.245,True
1999,DAR,-0.19523541020580765,0.09360718955319823,0.10272530519480509,8933260000,1094125000,12.33,14.47,23.81,0,0,4.53,40.57,0.113,0.107,0.057,0.206,6532204000,1529595000,4.53,0.01,0.35,12.33,9.19,1.625,2.779,2.187,9.88,1.265,False
2000,DARE,0.1066184294530752,0.09360718955319823,0.10614006896551724,89983000,-31361286,None,0,0.131,0,0,-0.34,0.118,0,-3.139,-0.394,-1.241,10000000,9900000,-0.34,0,0,-,-,7.67,2.897,3.654,-1.48,1.265,True
2001,DASH,0.18948356807511743,0.09360718955319823,0.15118005499999998,25049735000,-750000000,None,None,17.25,0,0,-3.96,17.72,-0.207,-0.146,-0.0725,-0.239,6583000000,3081000000,-3.96,0,0.398,-,1666.67,3.537,3.328,3.199,-33.23,1.448,True
2002,DATS,0.12765957446808524,0.09360718955319823,0.08029347222222222,11306500,-10836231,None,None,0.74,0,0,-0.89,0.002,0,-339.8,-0.474,-0.777,46740,-2958849,-0.89,0,0,-,-,185.08,0.581,85.6,0.328,None,True
2003,DATSW,-0.621273166800967,0.09360718955319823,,None,None,None,None,0.123,None,0,-0.134,0,0,0,0,-2.703,0,0,-0.134,0,0,-,-,-,-,-,-,None,False
2004,DAVA,0.0009385265133740383,0.09360718955319823,0.17814219767441855,3641703000,132534000,31.52,None,8.92,0,0,2.03,13.22,0.125,0.151,0.113,0.215,751034000,217931000,2.03,-0.008,0.302,31.52,68.49,6.26,8.02,6.57,43.02,1.203,False
2005,DAVE,-0.34263392857142866,0.09360718955319823,0.05565939655172417,69805000,-133562000,None,None,8.99,0,0,-11.42,17.68,-0.629,-0.656,-0.358,-1.774,204838000,110099000,-11.42,0,0.45,-,-,0.589,0.909,6.84,-1.268,None,False
2006,DAVEW,-0.20700636942675157,0.09360718955319823,,None,-42234000,None,None,-0.19,None,0,-0.206,1.482,-0.268,-0.288,0,0,147305000,0,-0.206,0,0.254,-,-,-,-,-,-,None,False
2007,DAWN,-0.32765050612679814,0.09360718955319823,0.04136591489361703,928669000,-146846000,None,None,4.52,0,0,-2.23,0,0,0,-0.287,-0.464,0,0,-2.23,0,0,-,-,-,4.153,-,-9.02,None,False
2008,DB,0.06846473029045644,0.09360718955319823,0.09859197999999995,20989753000,None,3.992,0.122,34.61,0.3,0.032,2.58,12.46,0.213,0.234,0.0043,0.0806,25984999000,25985000000,2.58,26.6,0.081,3.992,5.72,0.825,0.299,-,-,1.414,False
2009,DBD,-0.4352331606217616,0.09360718955319823,0.13432462745098042,80606000,135200000,None,1.52,-17.46,0,0,-7.42,43.81,-0.168,0.0056,0.0037,0,3460700000,778100000,-7.42,0,-0.086,-,1.056,0.0356,-,0.683,222.59,3.023,False
2010,DBGI,-0.7456310679611651,0.09360718955319823,0.18446284999999996,6705100,-15303842,None,None,-23.65,0,0,-97.65,50.75,-2.188,-1.201,-0.29,0,14605600,2895700,-97.65,0,0.583,-,-,0.424,11.47,1.344,-0.891,None,False
2011,DBGIW,-0.790650406504065,0.09360718955319823,,40382600,-6910606,None,None,None,None,0,None,0.505,-2.048,-1.434,-0.533,0,5239400,0,0,0,-0.037,-,-,-,-,-,-,None,False
2012,DBI,-0.3773960003150351,0.09360718955319823,0.2214163750000001,523770000,266358000,3.737,2.61,6.8,0.2,0.0223,2.26,49.04,0.0491,0.0558,0.0575,0.383,3315428000,1079225000,2.26,2.569,-0.075,3.737,6.55,0.186,1.687,0.538,6.55,1.995,False
2013,DBRG,-0.046712130381687623,0.09360718955319823,0.1404014375,1863162000,608875000,None,None,5.38,0.02,0.0025,-1.76,10.35,-0.201,0.0199,0.0016,-0.0856,1598389000,1208944000,-1.76,0,1.083,-,83.33,1.552,2.36,7.42,23.24,2.09,False
2014,DBRG-P-H,0.08675564035417146,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2015,DBRG-P-J,0.08607485520539448,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2016,DBTX,0.032154340836012894,0.09360718955319823,0.10836446153846152,80798000,-62495000,None,None,3.276,0,0,-2.9,0,0,0,-0.26,-0.564,0,0,-2.9,0,0,-,-,-,0.668,-,0.552,-0.0236,False
2017,DBVT,0.20486111111111122,0.09360718955319823,0.111620891025641,333335000,-83469000,None,0,1.034,0,0,-0.64,0.0315,0,-19.95,-0.307,-0.655,4844000,4844000,-0.64,0,0.568,-,-,28.15,1.356,-,-0.989,1.215,True
2018,DBX,0.0075507314771118515,0.09360718955319823,0.18251979500000004,7640268000,514900000,14.23,2.291,-0.886,0,0,1.5,6.44,0.238,0.154,0.0721,0.168,2324900000,1880700000,1.5,1.844,0.059,14.23,12.94,3.664,29.81,4.723,23.29,0.833,False
2019,DCBO,0.6613712374581939,0.09360718955319823,0.16623356666666672,1284820000,-5600000,177.27,None,5.84,0,0,0.22,4.322,0.0491,-0.0485,-0.0157,0.0367,142912000,114734000,0.22,14.0,0.307,177.27,92.59,8.37,5.62,6.38,147.42,1.535,True
2020,DCFC,-0.24528301886792458,0.09360718955319823,0.11356542105263162,182422000,-86823000,None,None,-0.569,0,0,-0.87,0.678,-1.14,-0.881,-0.368,0,101474000,-340000,-0.87,0,0.275,-,-,2.357,-,2.675,-2.121,0.816,False
2021,DCFCW,0.06487179487179484,0.09360718955319823,,None,-43173000,None,None,-0.873,0,0,-0.86,0.765,-1.123,-0.81,-0.365,0,56157000,0,-0.86,0,0,-,-,-,-,-,-,None,False
2022,DCGO,0.1348773841961853,0.09360718955319823,0.17139121875,853892000,33861800,24.5,None,2.668,0,0,0.34,4.352,0.0785,0.0529,0.0414,0.121,440516000,154721000,0.34,-0.513,-0.103,24.5,26.39,1.573,2.67,1.228,11.38,0.974,True
2023,DCI,0.07709299258151088,0.09360718955319823,0.11709937931034484,7589063000,581000000,21.7,1.92,9.85,0.92,0.0141,2.88,27.85,0.104,0.143,0.121,0.309,3418800000,1067400000,2.88,0.228,0.032,21.7,19.8,2.117,6.31,2.276,13.81,1.215,False
2024,DCO,0.05461356466876978,0.09360718955319823,0.12375227272727272,654156000,77867000,22.57,3.04,43.45,0,0,2.37,59.01,0.0404,0.0652,0.029,0.0576,712537000,144797000,2.37,-0.928,0.142,22.57,7.95,0.845,1.171,1.249,4.14,1.325,False
2025,DCOM,-0.35295327492605577,0.09360718955319823,0.13162859375000002,833861000,None,5.78,13.64,27.3,0.96,0.0442,3.73,10.71,0.37,0.535,0.0121,0.129,412645000,412645000,3.73,0.204,0.039,5.78,13.0,3.12,1.22,-,-,1.094,False
2026,DCOMP,-0.0718184492168545,0.09360718955319823,,None,None,4.617,None,27.3,0.96,0.0816,3.739,10.71,0.37,0.535,0.0121,0.129,412645000,412645000,3.739,0.204,0.039,4.617,-,-,-,-,-,1.094,False
2027,DCP,0.08424196126444362,0.09360718955319823,0.24771904999999997,8716389000,1091000000,8.87,6.76,27.59,1.68,0.0412,4.71,72.92,0.0692,0.0481,0.0342,0.177,15196000000,1620000000,4.71,-0.215,-0.122,8.87,6.74,0.508,1.281,0.84,7.35,2.344,False
2028,DCP-P-B,0.05744016134067941,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2029,DCP-P-C,0.07920210002721473,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2030,DCPH,-0.017821782178217793,0.09360718955319823,0.06650761038961038,1130096000,-179776000,None,None,5.05,0,0,-2.45,1.775,-1.335,-1.363,-0.259,-0.554,134036000,-62555000,-2.45,0,0.502,-,-,8.7,2.734,5.64,-3.113,0.711,False
2031,DCT,0.8102955195424212,0.09360718955319823,0.18693549629629624,2523733000,6328000,None,None,5.5,0,0,-0.11,2.342,-0.0458,-0.0427,-0.01,-0.0194,310082000,174623000,-0.11,0,0.098,-,111.11,5.15,2.216,4.532,84.65,0.586,True
2032,DCTH,1.0535714285714286,0.09360718955319823,0.11848185526315792,57969000,-33721000,None,None,-0.583,0,0,-4.21,0.307,0,-12.45,-0.83,-11.98,2719000,2033000,-4.21,0,-0.697,-,-,7.31,7.01,9.1,-1.321,0.874,True
2033,DD,0.057756279235652255,0.09360718955319823,0.13237061000000003,32033241000,3185000000,34.6,1.638,57.99,1.32,0.02,2.02,26.11,0.451,0.158,0.0294,0.0393,13017000000,4615000000,2.02,21.35,-0.044,34.6,19.08,1.953,1.389,2.59,11.13,1.25,False
2034,DDD,0.24602203182374538,0.09360718955319823,0.13631574489795903,1349003000,-78315000,None,2.98,5.72,0,0,-0.95,4.209,-0.228,-0.217,-0.0488,-0.154,538031000,214233000,-0.95,0,-0.12,-,-,1.95,1.631,1.955,-18.96,1.718,True
2035,DDI,-0.17525773195876282,0.09360718955319823,0.10842410975609758,396427000,101571000,None,None,12.64,0,0,-4.88,6.48,-0.729,0.305,0.0694,-0.314,321027000,211722000,-4.88,-0.149,-0.117,-,-,1.345,0.571,0.585,-9.96,None,False
2036,DDL,0.2439862542955326,0.09360718955319823,0.058802555555555504,783093000,-491526016,None,None,1.434,0,0,-0.56,112.02,-0.0333,-0.0287,-0.0463,-1.373,24221233000,7485590000,-0.56,0,0.131,-,-,0.0401,30.54,0.0468,-0.188,None,True
2037,DDOG,0.031240702171972543,0.09360718955319823,0.17140807500000005,21771168000,-30816000,None,1.227,4.419,0,0,-0.17,5.31,-0.0299,-0.035,-0.0136,-0.0409,1675100000,1328623000,-0.17,0,0.439,-,69.44,16.23,19.82,16.08,522.64,0.987,False
2038,DDS,0.03209508665805168,0.09360718955319823,0.20971952999999993,5258745000,1307387000,6.07,-1.28,93.3,0.8,0.0026,50.8,398.67,0.128,0.16,0.213,0.585,6996215000,3012617000,50.8,0.016,0.004,6.07,21.55,0.761,3.35,0.753,3.743,0.966,False
2039,DDT,0.029208020628379423,0.09360718955319823,,None,None,None,0,None,None,0.112,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2040,DE,0.007348497703866275,0.09360718955319823,0.21845501000000003,114027659000,12409000000,14.29,1.477,71.99,4.51,0.0121,26.92,184.23,0.147,0.206,0.0836,0.417,55645999000,14486000000,26.92,1.243,0.322,14.29,15.87,2.467,6.53,3.399,16.21,1.06,False
2041,DEA,-0.11888568539752216,0.09360718955319823,0.1870441904761905,2387697000,170039000,39.31,0,13.71,1.06,0.0779,0.34,3.277,0.106,0.252,0.0165,0.0249,296980000,197929000,0.34,1.268,0.037,39.31,65.36,8.44,1.087,9.33,16.22,0.639,False
2042,DECA,0.03149606299212601,0.09360718955319823,0.13618266666666667,113420000,None,None,None,-0.302,0,0,-0.72,0,0,0,0,0,0,0,-0.72,0,0,-,-,-,-,-,-,None,False
2043,DECAU,0.028515240904621528,0.09360718955319823,,None,None,None,None,-0.302,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2044,DECAW,-0.14285714285714296,0.09360718955319823,,None,None,None,None,0.007,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2045,DECK,0.3807473007400217,0.09360718955319823,0.18568333103448276,12000335000,678478000,24.64,3.71,67.12,0,0,18.48,133.71,0.138,0.177,0.147,0.296,3571722000,1607551000,18.48,0.245,0.133,24.64,16.56,2.928,6.51,2.827,15.84,0.923,True
2046,DEI,-0.2127714894141117,0.09360718955319823,0.1656760344827586,2599487000,600595000,22.73,9.09,14.57,1.03,0.062,0.55,5.64,0.098,0.241,0.0156,0.0234,991076000,657255000,0.55,0.28,0.07,22.73,9.0,3.436,1.386,8.77,14.07,0.967,False
2047,DELL,0.04760428229758924,0.09360718955319823,0.12324203499999992,29362282000,7807000000,12.4,1.15,-4.36,1.32,0.0361,3.3,139.38,0.0239,0.0564,0.0396,44.3,102301000000,22686000000,3.3,315.92,-0.105,12.4,6.81,0.268,4.39,0.504,8.16,0.98,False
2048,DEN,0.033657104133724754,0.09360718955319823,,4591234000,722657000,10.15,None,30.77,0,0,9.08,33.33,0.28,0.33,0.167,0.36,1713859000,1118595000,9.08,-0.364,0.082,10.15,9.58,2.591,3.078,2.697,6.17,1.485,False
2049,DENN,-0.06029285099052535,0.09360718955319823,0.13085981981981976,625188000,78795000,8.86,1.656,-0.654,0,0,1.25,7.51,0.164,0.14,0.0856,0,456429000,172045000,1.25,-0.671,0.123,8.86,14.9,1.316,-,2.284,6.03,1.682,False
2050,DEO,0.10573887000076006,0.09360718955319823,0.24134426500000014,104301347000,5719000000,23.96,2.251,0.794,0.776,0.02,7.72,1.64,0.212,0.314,0.0922,0.381,16915000000,9479000000,7.72,0.198,0.184,23.96,22.08,6.71,11.21,7.91,21.37,0.365,True
2051,DERM,-0.29170468865423893,0.09360718955319823,0.11098051351351353,29381200,-23450334,None,None,0.956,0,0,-1.85,4.202,-0.402,-0.373,-0.17,-1.004,73669000,42894000,-1.85,0,-0.089,-,-,0.346,1.133,0.194,-0.629,None,False
2052,DESP,0.015332197614991458,0.09360718955319823,-0.029009062500000002,394777000,30783000,None,None,-1.338,0,0,-1.11,6.26,-0.127,-0.0068,-0.0028,-0.705,516987000,166055000,-1.11,0,0.168,-,44.44,0.632,51.27,0.324,-3.645,1.905,False
2053,DFFN,-0.1928721174004192,0.09360718955319823,0.16057452459016391,8319900,-15878764,None,0,9.91,0,0,-7.24,0,0,0,-0.33,-0.566,0,0,-7.24,0,0,-,-,-,0.511,-,1.65,1.854,False
2054,DFH,0.27744510978043924,0.09360718955319823,0.1395830357142857,1191224000,367408000,5.22,None,6.81,0,0,2.45,36.04,0.0785,0.107,0.104,0.404,3342335000,627196000,2.45,0.389,0.29,5.22,12.09,0.282,1.574,0.612,5.79,1.43,True
2055,DFIN,0.17467625899280576,0.09360718955319823,0.10574341025641026,1185238000,161900000,12.62,4.88,11.4,0,0,3.25,27.07,0.123,0.185,0.112,0.29,833600000,463400000,3.25,-0.513,-0.28,12.62,-,1.212,3.341,1.487,5.88,1.673,True
2056,DFLI,-0.5941101152368757,0.09360718955319823,0.17551542424242417,144964000,-12646000,None,None,0.262,0,0,-0.05,2.236,-0.222,-0.157,-0.102,-1.395,86251000,24004000,-0.05,0,0.001,-,-,6.59,42.44,6.59,-5203.16,None,False
2057,DFLIW,-0.31203931203931196,0.09360718955319823,,None,-100000,None,None,0.534,0,0,None,3.842,-0.0457,-0.0106,0,0,78952000,0,0,0,-0.073,-,-,-,-,-,-,None,False
2058,DFS,-0.0037048504619863784,0.09360718955319823,0.10807099418604647,25630052000,None,6.38,0.386,50.62,2.3,0.0243,15.5,39.63,0.4,0.537,0.0363,0.314,10978000000,10465000000,15.5,0.042,0.066,6.38,7.25,2.501,2.136,-,-,1.462,False
2059,DG,-0.11425815353759214,0.09360718955319823,0.1521974,46930743000,4055279000,20.06,1.773,25.29,2.2,0.0111,10.68,168.09,0.0638,0.088,0.0751,0.409,37844865000,11820098000,10.68,0.157,0.179,20.06,19.61,1.521,8.92,1.942,18.11,0.334,False
2060,DGHI,1.5166666666666668,0.09360718955319823,0.11060201851851852,44343000,688250,10.07,None,1.917,0,0,0.15,1.058,0.333,-0.255,-0.066,0.151,28094900,14410300,0.15,-0.706,-0.319,10.07,1.724,0.562,0.265,0.479,0.797,8.38,True
2061,DGICA,-0.0036468384606651943,0.09360718955319823,0.11707873563218393,499578000,1824000,None,3.06,14.79,0.655,0.0431,-0.06,26.52,-0.0023,-0.0036,-0.0008,-0.0039,848221000,-1772593,-0.06,-0.365,0.063,-,15.11,0.533,0.968,0.571,-,-0.0147,False
2062,DGICB,0.007884243721384477,0.09360718955319823,,498926000,1824000,None,0,14.79,0.655,0.0392,-0.06,26.52,-0.0023,-0.0036,-0.0008,-0.0039,848221000,-1772593,-0.06,-0.365,0.063,-,14.58,0.745,0.999,0.571,-,-0.0147,False
2063,DGII,-0.10129014548449074,0.09360718955319823,0.21538751000000006,1203844000,80925000,49.53,1.409,14.27,0,0,0.68,11.71,0.058,0.109,0.0326,0.0487,413274000,221583000,0.68,4.333,0.297,49.53,23.92,3.598,2.793,4.184,21.4,1.247,False
2064,DGLY,-0.43714285714285717,0.09360718955319823,0.15260411428571433,12132200,-23481900,None,-0.09,17.71,0,0,-7.65,15.74,-0.213,-0.645,-0.201,-0.156,39874500,5663800,-7.65,6.86,0.829,-,-,0.349,0.316,0.275,-1.867,0.863,False
2065,DGNU,0.010111223458038386,0.09360718955319823,,537807000,None,76.85,None,-0.306,0,0,0.13,0,0,0,-0.003,0,0,0,0.13,0,0,76.85,-,-,1.279,-,65.79,0.0265,False
2066,DGX,-0.024676137607417548,0.09360718955319823,0.19114702999999994,15882452000,1989000000,17.9,1.237,53.09,2.64,0.0201,7.97,85.2,0.0957,0.157,0.0734,0.162,9883000000,3467000000,7.97,-0.717,-0.15,17.9,17.48,1.651,2.76,2.055,9.59,0.943,False
2067,DH,0.005917159763313483,0.09360718955319823,0.1151853235294118,1116941000,23531000,None,None,9.06,0,0,-0.06,2.202,-0.0271,-0.15,-0.0099,-0.0149,222653000,196787000,-0.06,0,0.308,-,58.48,6.19,1.411,5.97,49.6,None,False
2068,DHAC,0.0664868612237534,0.09360718955319823,0.0961545,46336300,None,None,None,-0.374,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2069,DHACU,0.043905013192612245,0.09360718955319823,,None,None,None,None,-0.374,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2070,DHACW,-0.15,0.09360718955319823,,None,None,None,None,0.005,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2071,DHC,0.082398591914273,0.09360718955319823,0.1298818333333333,297209000,145701000,None,None,11.01,0.04,0.0294,-0.07,5.39,-0.0123,-0.0731,-0.0093,-0.006,1283566000,171891000,-0.07,-0.684,0,-,-,0.139,0.067,1.986,2.907,1.705,False
2072,DHCA,0.00751879699248131,0.09360718955319823,0.146267,124447000,None,62.81,None,-2.089,0,0,0.16,0,0,0,-0.0108,0,0,0,0.16,0.39,0,62.81,-,-,1.317,-,-71.55,None,False
2073,DHCAU,0.020040080160320568,0.09360718955319823,,363750000,None,42.42,None,-2.089,0,0,0.24,0,0,0,-0.0108,0,0,0,0.24,0.39,0,42.42,-,-,-,-,-,None,False
2074,DHCAW,-0.3320000000000001,0.09360718955319823,,364125000,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2075,DHCNI,0.0697598140495888,0.09360718955319823,,None,None,None,None,None,None,0.2,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2076,DHCNL,0.04944627768246565,0.09360718955319823,,None,400437000,None,None,None,None,0.156,None,6.32,-0.116,0.0891,0.0124,-0.0606,1503156000,537983000,0,-0.684,0.541,-,-,-,-,-,-,1.362,False
2077,DHHCU,0.35951661631419946,0.09360718955319823,,420469000,None,180,None,-0.157,0,0,0.075,0,0,0,-0.0045,0,0,0,0.075,-0.114,0,180,-,-,-,-,-,0.0053,True
2078,DHI,0.29824545190116486,0.09360718955319823,0.011459198412698416,33546062000,7538600000,5.91,1.855,58.71,0.925,0.0105,16.52,96.59,0.169,0.221,0.169,0.313,33684400000,10070100000,16.52,-0.129,0.029,5.91,9.67,0.931,1.552,1.006,4.403,1.51,True
2079,DHIL,-0.023202333013351364,0.09360718955319823,0.1897731428571429,498989000,65709000,12.34,0,54.37,6,0.0367,13.25,49.72,0.262,0.416,0.15,0.194,154496000,85098000,13.25,-0.13,-0.188,12.34,-,3.381,3.336,3.03,6.71,0.893,False
2080,DHR,0.010255615292832922,0.09360718955319823,0.18807354,182518661000,10964000000,25.74,3.236,66.47,1,0.0043,9.65,43.4,0.229,0.278,0.0652,0.151,31471000000,18949000000,9.65,0.239,0.027,25.74,25.91,6.29,4.327,6.78,19.93,0.802,False
2081,DHR-P-B,-0.009925280678875843,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
2082,DHT,0.02948198722208304,0.09360718955319823,0.15080107042253524,1538597000,186046000,25.51,3.77,6.57,0.48,0.141,0.37,2.876,0.13,0.157,0.0297,0.0585,473658000,194834000,0.37,11.41,0.893,25.51,8.09,4.197,1.517,4.989,12.13,-0.174,False
